Company,Type,Inches,RAM,Processor Name,Osys,MEMORY,TouchScreen,Graphic Card,KGs,X_RES,Y_RES,Price
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 13th Gen,Windows 11 ,512 GB SSD,No,No,1.6,1920,1080,47490
Infinix,Thin and Light Laptop,14 inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.24,1920,1080,30490
DELL,Gaming Laptop,38 cm,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,Yes,2.57,1920,1080,72990
ASUS,2 in 1 Laptop,14 inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.5,1920,1200,58990
HP,Notebook,14 inch,8 GB,AMD Ryzen 3 Dual Core,DOS,512 GB SSD,No,No,1.47,1366,768,29990
HP,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,43990
Lenovo,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.25,1920,1080,52490
Acer,Thin and Light Laptop,14 Inch,8 GB,AMD Ryzen 5,Windows 11 ,256 GB SSD,No,No,1.6,,,30990
realme,Thin and Light Laptop,14 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.47,2160,1440,44999
ASUS,Chromebook,14 inch,4 GB,Intel Celeron Dual Core,Chrome OS,64 GB EMMC Storage,No,No,1.2,1366,768,16990
MSI,Thin and Light Laptop,14 Inch,8 GB,Intel Core i5 13th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,55990
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Quad Core,Windows 11 ,512 GB SSD,No,No,1.75,1920,1080,36990
ASUS,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,59990
Acer,Thin and Light Laptop,14 Inch,8 GB,AMD Ryzen 3 Dual Core 13th Gen,Windows 11 ,256 GB SSD,No,No,1.6,,,25990
MSI,Gaming,15.6 Inch,8 GB,Intel Core i7 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,56547
Acer,Gaming Laptop,15.6 inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,Yes,1.8,1920,1080,56990
HP,Gaming Laptop,15.6 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,63990
HP,Gaming,15.6 inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,Yes,2.29,1920,1080,71990
Infinix,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.24,1920,1080,34990
HP,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i7 13th Gen,Windows 11 ,1 TB SSD,No,No,1.75,1920,1080,88490
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,48990
MSI,Gaming,15.6 Inch,16 GB,Intel Core i7 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,66990
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,1 TB SSD,No,No,1.69,1920,1080,44090
ASUS,Thin and Light Laptop,14 Inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.5,2880,1800,74990
ASUS,Thin and Light Laptop,14 Inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.5,1920,1200,69990
ASUS,Thin and Light Laptop,14 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.4,2880,1800,69990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
ASUS,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 13th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,45990
HP,Gaming Laptop,15.6 Inch,16 GB,AMD Ryzen 7 Octa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,76990
Lenovo,Gaming Laptop,15.6 Inch,16 GB,AMD Ryzen 7 Octa Core,Windows 11 ,512 GB SSD,No,Yes,2.4,1920,1080,109990
MSI,Gaming,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,53990
MSI,Thin and Light Laptop,14 Inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,48990
HP,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.41,1920,1080,56490
MSI,Gaming,15.6 Inch,16 GB,Intel Core i7 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,66990
Lenovo,Thin and Light Laptop,14 Inch,4 GB,AMD Athlon Dual Core,Windows 10,256 GB SSD,No,No,1.59,1366,768,20990
ASUS,Thin and Light Laptop,14 inch,4 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.6,1366,768,25990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,47990
HP,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,43990
MSI,Gaming,15.6 Inch,8 GB,Intel Core i7 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,56547
Primebook,Thin and Light Laptop,11 Inch,4 GB,MediaTek MediaTek MT8788,Prime OS,128 GB EMMC Storage,No,No,1.065,1366,768,15990
